,xs_std,ys_std,Rper,Rper_max,xs_std_err,ys_std_err,xs_std_ci,ys_std_ci,Rper_err,Rper_ci,Rper_max_err,Rper_max_ci,obs_phi,spot_ratio,radii_method,latitude_method,num_multi,size_multi
6819,11.083986688563604,8.428321169793755,75286.05263717464,125950.65653915693,0.06993023031723178,0.05235068625526417,"[10.946994304371636, 11.220026473780129]","[8.325224068460352, 8.52974128410077]",392.6447623230458,"[74632.45691658571, 76107.05888977082]",1865.9019943287706,"[120006.37283065652, 125950.65653915693]",[1.0471975511965976],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],85.0,4.242640687119285
6820,11.343759490520103,11.343759490520103,0.0,0.0,0.06580891298397275,0.06563773339682759,"[11.213899445233977, 11.471985346447765]","[11.219114646829363, 11.472862496307991]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",[1.5707963267948966],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],85.0,4.242640687119285
6821,1.7828212735226123,1.0633952574666237,75844.48963959356,134388.43645836928,0.00771787657379685,0.00444118403008618,"[1.7679392957803024, 1.798149912937172]","[1.0547272344062995, 1.072030151360159]",1302.7777041748634,"[73365.47517805803, 78456.24205232487]",598.8146759497278,"[132086.53481221144, 134388.43645836928]",[0.5235987755982988],"[0.6, 1.0]","[['Nagovitsyn', True, 1.4142135623730951], ['Baumann Group Max', False, 1.4142135623730951]]",['solar butterfly'],79.0,1.4142135623730951
6822,12.25920239122958,8.352688746080124,158162.1457343525,247705.57443657503,0.06970715332870286,0.04330342140992149,"[12.125767638874967, 12.39877905960436]","[8.26727958856419, 8.435053686402288]",875.8577236635512,"[156869.52341684513, 160114.31560491864]",1410.652451060607,"[242641.45847301587, 247705.57443657503]",[0.0],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],86.0,4.242640687119285
6823,11.622776426609121,7.820311217366907,133415.76472424122,212491.83855128306,0.06572148738278054,0.04814332045777281,"[11.493898207169925, 11.749812005905367]","[7.7283318039769355, 7.9151424392077665]",645.9969372139743,"[131772.62793105838, 134447.16199002368]",2373.1663334635577,"[206645.1987457798, 212491.83855128306]",[0.5235987755982988],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],86.0,4.242640687119285
6824,11.278190346069008,8.834118914867853,74914.85058740905,122845.58231835818,0.0612736675158928,0.050027019839239004,"[11.15910068468415, 11.398901382382364]","[8.734770857183417, 8.933323920323867]",475.5319366888397,"[73784.95990897976, 75666.24276467122]",1427.9544655645584,"[119218.99787621349, 122845.58231835818]",[1.0471975511965976],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],86.0,4.242640687119285
6825,10.49684159723865,10.496841597238648,0.0,0.0,0.057816518489068075,0.05771663450467006,"[10.383725416085497, 10.610993618985711]","[10.382190028891378, 10.611910510585775]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",[1.5707963267948966],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],86.0,4.242640687119285
6826,12.472615112247558,8.82850084833275,159310.5231769557,249405.17200101976,0.06608755370226314,0.052587792795975544,"[12.344257789789971, 12.60334279302982]","[8.724377204936971, 8.931579993224206]",849.5337130121865,"[157515.2178917363, 160999.5220836899]",2414.330005469249,"[241473.73772564795, 249405.17200101976]",[0.0],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],87.0,4.242640687119285
6827,12.0984190607846,7.8286071057526225,135203.61148136505,212417.38952018318,0.0636906695907206,0.04924352312295856,"[11.97723557297965, 12.22394559315781]","[7.731900708007323, 7.928395421707574]",804.4409176317117,"[133522.97463667163, 136571.11330480035]",1635.0354860849445,"[207867.28165700674, 212417.38952018318]",[0.5235987755982988],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],87.0,4.242640687119285
6828,11.513082481562092,8.821572479855568,75631.43622242473,119841.6659348579,0.06338465635869645,0.04829623087872086,"[11.391074892246174, 11.637822798221066]","[8.727353652463501, 8.91633466849002]",409.3340272551107,"[74897.37632534243, 76575.52140681623]",480.2406694802032,"[118439.46066020828, 119841.6659348579]",[1.0471975511965976],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],87.0,4.242640687119285
6829,11.39672941183811,11.396729411838113,0.0,0.0,0.06395413478080378,0.06395247925336517,"[11.272152118205279, 11.520923924868939]","[11.274073920134885, 11.52410886469601]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",[1.5707963267948966],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],87.0,4.242640687119285
6830,13.38702708500246,9.06559749460205,159816.293388255,247972.31519403862,0.09300384561646437,0.045273672400576156,"[13.20394362916882, 13.568532383098956]","[8.977119263543727, 9.154094621660466]",780.8359455477265,"[158369.71116601874, 161394.87580732704]",593.9936174570736,"[246294.03816773908, 247972.31519403862]",[0.0],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],88.0,4.242640687119285
6831,11.685161498948544,8.138716031595903,134380.94974203722,211180.88180513206,0.06145478374929433,0.05483081946425285,"[11.56538783680347, 11.805338380306456]","[8.031803683408754, 8.246484258555379]",539.2812771070166,"[133242.07009871447, 135356.30807491788]",1908.5521189473952,"[206110.35528891807, 211180.88180513206]",[0.5235987755982988],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],88.0,4.242640687119285
6832,1.654464125002745,1.2447458238324138,42903.38266991023,78273.1107859448,0.006936814761491974,0.005371994717395961,"[1.6408978245642336, 1.6678904353524704]","[1.234402805711416, 1.2555452608375761]",479.77188068775337,"[41977.81722791272, 43678.584213855516]",894.9719850430964,"[75598.86947953142, 78273.1107859448]",[1.0471975511965976],"[0.6, 1.0]","[['Nagovitsyn', True, 1.4142135623730951], ['Baumann Group Max', False, 1.4142135623730951]]",['solar butterfly'],79.0,1.4142135623730951
6833,11.1065695851277,8.519114704028782,76168.95694148795,121748.8947678227,0.06463389421749009,0.047857722631307456,"[10.98021560578452, 11.233355223645553]","[8.426387964468828, 8.612857515411346]",487.9598012979982,"[75271.01130966001, 76943.60555125246]",1565.1070355027177,"[117204.52633393763, 121748.8947678227]",[1.0471975511965976],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],88.0,4.242640687119285
6834,11.858873430239997,11.858873430239997,0.0,0.0,0.0734769816532503,0.07177264568860325,"[11.714695032665595, 12.000499248500242]","[11.718575055055707, 12.000327914752043]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",[1.5707963267948966],"[0.6, 1.0]","[['Nagovitsyn', True, 4.242640687119285], ['Baumann Group Max', False, 4.242640687119285]]",['solar butterfly'],88.0,4.242640687119285
